user_id,item_id,rating
ae7y5rlyikhozb5nkkoekyg2spsq,b00hlssqkk,5
ahortssmi6zzfufwmpt4ufr2isuq,b002pxw04y,4
afw2pdt3amt4x3pyqg7fjzh5fxfa,b00hcr5090,5
afw2pdt3amt4x3pyqg7fjzh5fxfa,b0000arxxs,5
afub7chtxrpd447qvqchbzvn2ipq,b0025zoveo,1
afphkijfgiu4g4poxrfcef5rjjha,b002wwmcaa,2
afphkijfgiu4g4poxrfcef5rjjha,b001thpa4y,5
agrukthxeshtphhk4gqyqnrfzp3a,b00005r8br,5
aeyvxzf5tqb7iglls3hjtdwlskjq,b002pxvz5o,5
aeygpucrkh7g4vm22fm3vaksq23q,b00006kssx,5
af3i5vhfndtd3cufmepulgwmamka,b000w3mb5m,5
aes64nempyrenbt6pgcoyybvdswq,b000ftj7jq,5
aetah6gk4tsothivpbfpyzmiqrra,b01iaix74y,5
aetah6gk4tsothivpbfpyzmiqrra,b01fv50uik,5
ahwaibcvnsk4hajfe5dnrp636l2a,b002pxvyeq,5
ahpfhp43axwryzz4hpncw7i7j3zq,b001c4q06g,5
aeiczd35otdyvwa2kpywn4pdz2sa,b01ly3vkmy,1
aeiczd35otdyvwa2kpywn4pdz2sa,b01lzqeacq,1
aglqqcis5v6egucs5ssnhwzhqm6q,b000063xjl,2
aglqqcis5v6egucs5ssnhwzhqm6q,b00005q7dj,5
ahbieprttyn6pdtdndiqjkketjiq,b0037stb02,5
aeq7y56neuztfg2qjyq4t32eiuza,b00006kol8,5
aekaq5shleie44sa3wxllkd4rjva,b0032khqts,5
aekaq5shleie44sa3wxllkd4rjva,b06xwb4x41,5
ahcdz4oxu7u4awycak2674r3nyvq,b001u5spho,4
ahcdz4oxu7u4awycak2674r3nyvq,b000h4w7vy,5
afe454tbpjxvp55m6stlr6r5664a,b004gvzuuy,4
afxfexkd2xngflvj2mmaxnyjsdaq,b002pxw26a,5
ae2ju3mewv5jd7dls5rlwrqk2oqq,b00fp5a13g,5
agam2cckv52hi4yzu7asztsxa7yq,b003n3qrfi,5
ae2vzf52ahyfdf3rawz67qhlylra,b00079ro7g,5
af6ak5ove22l55jhpjzitx5sfauq,b0029xhgvc,5
af6ak5ove22l55jhpjzitx5sfauq,b0029xhgsk,5
aepeqwz3xslbke6rscnkxgo6yn3a,b0061shl16,5
aeaw3i4oqjjngeuotwpstnf4nqyq,b002pxvyuu,5
aerbgr3gpgz4ijmr3c2syo64pvlq,b00f8lwd6u,5
agf6gwdawg7uw3r5o2g5o5jzc4bq,b002vb3x96,1
aeztszfwi6c6gouj2lih47yfc4aa,b002pxvyo6,5
afqw7qx2dremfpk5wsmqkg27uoqa,b0047ervha,5
aghwyyidfnu6qhvtqno4nbcuh3va,b0061shl02,1
aghwyyidfnu6qhvtqno4nbcuh3va,b00006kt0a,5
aghwyyidfnu6qhvtqno4nbcuh3va,b00006ldih,5
agvgizwqaefxmes5ggqbtmnnesxq,b00005n7vl,5
agg2nb2rzz42zakkzbemtu35d53q,b0714c2w8m,5
agg2nb2rzz42zakkzbemtu35d53q,b00006kpsh,5
aettgdsjdm554isac6u5n3wizq6a,b01aaqyxd8,2
afmo5fnlpzy3u3lovluvg3tcgaiq,b002pxw0ey,5
afercdy2efjkt7quq75gisnhtfoq,b00006kpsh,4
afercdy2efjkt7quq75gisnhtfoq,b00xzf1jum,4
afercdy2efjkt7quq75gisnhtfoq,b00006kp86,4
afercdy2efjkt7quq75gisnhtfoq,b00006k32h,5
afercdy2efjkt7quq75gisnhtfoq,b000ftj7be,5
